S 1 905174
S 2 905675
S 3 906176
S 4 906677
R 1 907168
S 5 907179
R 2 907632
S 6 907680
R 3 908137
S 7 908181
R 4 908656
S 8 908682
R 5 909124
S 9 909184
R 6 909607
S 10 909685
R 7 910085
S 11 910186
R 8 910612
S 12 910687
R 9 911118
S 13 911188
R 10 911614
S 14 911689
R 11 912087
S 15 912190
R 12 912619
S 16 912691
R 13 913136
S 17 913192
R 14 913667
S 18 913693
R 15 914164
S 19 914194
R 16 914657
S 20 914695
R 17 915154
S 21 915196
R 18 915643
S 22 915697
R 19 916133
S 23 916198
R 20 916634
S 24 916699
R 21 917115
S 25 917200
R 22 917628
S 26 917701
R 23 918122
S 27 918202
R 24 918639
S 28 918703
R 25 919144
S 29 919204
R 26 919654
S 30 919705
R 27 920150
S 31 920206
R 28 920674
S 32 920707
R 29 921175
S 33 921208
R 30 921667
S 34 921709
R 31 922185
S 35 922210
R 32 922673
S 36 922711
R 33 923165
S 37 923212
R 34 923673
S 38 923713
R 35 924164
S 39 924214
R 36 924661
S 40 924715
R 37 925154
S 41 925216
R 38 925641
S 42 925717
S 43 926218
R 39 926382
R 40 926718
S 44 926720
R 41 927166
S 45 927221
R 42 927625
S 46 927722
R 43 928142
S 47 928223
R 44 928637
S 48 928724
R 45 929141
S 49 929225
R 46 929658
S 50 929726
R 47 930161
