S 1 2264722
S 2 2265223
S 3 2265724
S 4 2266225
R 1 2266718
S 5 2266726
R 2 2267205
S 6 2267227
R 3 2267688
S 7 2267728
R 4 2268209
S 8 2268229
R 5 2268716
S 9 2268730
R 6 2269191
S 10 2269231
R 7 2269690
S 11 2269732
R 8 2270196
S 12 2270233
R 9 2270702
S 13 2270734
R 10 2271217
S 14 2271235
R 11 2271696
S 15 2271736
R 12 2272212
S 16 2272237
R 13 2272713
S 17 2272738
R 14 2273198
S 18 2273239
R 15 2273717
S 19 2273740
R 16 2274210
S 20 2274241
R 17 2274725
S 21 2274742
R 18 2275217
S 22 2275243
R 19 2275741
S 23 2275744
R 20 2276222
S 24 2276245
R 21 2276733
S 25 2276746
R 22 2277229
S 26 2277248
R 23 2277725
S 27 2277749
R 24 2278227
S 28 2278250
R 25 2278738
S 29 2278751
R 26 2279236
S 30 2279252
R 27 2279750
S 31 2279753
R 28 2280244
S 32 2280254
R 29 2280739
S 33 2280755
R 30 2281251
S 34 2281256
R 31 2281749
S 35 2281757
S 36 2282258
R 32 2282259
S 37 2282759
R 33 2282767
R 34 2283236
S 38 2283260
R 35 2283751
S 39 2283761
R 36 2284246
S 40 2284262
S 41 2284763
R 37 2284770
R 38 2285245
S 42 2285264
R 39 2285736
S 43 2285765
R 40 2286230
S 44 2286266
R 41 2286757
S 45 2286767
R 42 2287243
S 46 2287268
R 43 2287750
S 47 2287769
R 44 2288264
S 48 2288270
R 45 2288737
S 49 2288771
R 46 2289252
S 50 2289272
R 47 2289743
