S 1 1978983
S 2 1979484
S 3 1979985
R 1 1980019
S 4 1980486
R 2 1980492
S 5 1980987
R 3 1980998
R 4 1981468
S 6 1981488
R 5 1981972
S 7 1981989
R 6 1982443
S 8 1982490
R 7 1982920
S 9 1982991
R 8 1983446
S 10 1983492
R 9 1983960
S 11 1983993
R 10 1984460
S 12 1984494
R 11 1984957
S 13 1984995
R 12 1985443
S 14 1985496
R 13 1985938
S 15 1985997
R 14 1986441
S 16 1986498
R 15 1986954
S 17 1986999
R 16 1987435
S 18 1987500
R 17 1987933
S 19 1988001
R 18 1988420
S 20 1988502
R 19 1988942
S 21 1989003
R 20 1989463
S 22 1989504
R 21 1989968
S 23 1990005
R 22 1990464
S 24 1990506
R 23 1990957
S 25 1991007
R 24 1991458
S 26 1991508
R 25 1991952
S 27 1992009
R 26 1992451
S 28 1992510
R 27 1992943
S 29 1993011
R 28 1993431
S 30 1993512
R 29 1993935
S 31 1994013
R 30 1994458
S 32 1994514
R 31 1994954
S 33 1995015
R 32 1995450
S 34 1995516
R 33 1995953
S 35 1996017
R 34 1996445
S 36 1996518
R 35 1996957
S 37 1997019
R 36 1997468
S 38 1997520
R 37 1997981
S 39 1998021
R 38 1998469
S 40 1998522
R 39 1998963
S 41 1999023
R 40 1999459
S 42 1999524
R 41 1999958
S 43 2000025
R 42 2000473
S 44 2000526
R 43 2000977
S 45 2001027
R 44 2001478
S 46 2001528
R 45 2001983
S 47 2002029
R 46 2002479
S 48 2002530
R 47 2002980
S 49 2003031
R 48 2003484
S 50 2003532
R 49 2003980
