S 1 1353331
S 2 1353832
S 3 1354333
S 4 1354834
S 5 1355335
R 1 1355337
S 6 1355836
R 2 1355858
S 7 1356337
R 3 1356338
S 8 1356838
R 4 1356838
R 5 1357331
S 9 1357339
R 6 1357812
S 10 1357840
R 7 1358332
S 11 1358341
R 8 1358828
S 12 1358842
R 9 1359336
S 13 1359343
R 10 1359824
S 14 1359844
R 11 1360329
S 15 1360345
R 12 1360828
S 16 1360846
R 13 1361342
S 17 1361347
R 14 1361814
S 18 1361848
R 15 1362342
S 19 1362349
S 20 1362850
R 16 1362854
S 21 1363351
R 17 1363390
S 22 1363852
R 18 1363887
R 19 1364328
S 23 1364353
R 20 1364836
S 24 1364854
R 21 1365337
S 25 1365355
R 22 1365821
S 26 1365856
R 23 1366315
S 27 1366358
R 24 1366805
S 28 1366859
R 25 1367352
S 29 1367360
R 26 1367841
S 30 1367861
R 27 1368328
S 31 1368363
R 28 1368860
S 32 1368864
R 29 1369361
S 33 1369365
R 30 1369835
S 34 1369866
R 31 1370344
S 35 1370368
R 32 1370836
S 36 1370869
R 33 1371351
S 37 1371370
R 34 1371841
S 38 1371871
R 35 1372337
S 39 1372372
R 36 1372865
S 40 1372873
R 37 1373359
S 41 1373374
R 38 1373871
S 42 1373875
R 39 1374375
S 43 1374376
R 40 1374868
S 44 1374877
S 45 1375378
R 41 1375386
R 42 1375862
S 46 1375879
R 43 1376362
S 47 1376380
S 48 1376881
R 44 1376882
S 49 1377382
R 45 1377386
S 50 1377883
R 46 1377909
