S 1 1532095
S 2 1532596
R 1 1533075
S 3 1533097
R 2 1533568
S 4 1533598
S 5 1534099
R 3 1534100
S 6 1534600
R 4 1534627
S 7 1535101
R 5 1535110
R 6 1535580
S 8 1535602
R 7 1536086
S 9 1536103
R 8 1536595
S 10 1536604
R 9 1537095
S 11 1537105
R 10 1537600
S 12 1537606
S 13 1538107
R 11 1538113
S 14 1538608
R 12 1538621
R 13 1539100
S 15 1539109
R 14 1539599
S 16 1539610
R 15 1540109
S 17 1540111
S 18 1540612
R 16 1540644
R 17 1541107
S 19 1541113
R 18 1541590
S 20 1541614
R 19 1542113
S 21 1542115
S 22 1542616
R 20 1542619
S 23 1543117
R 21 1543160
S 24 1543618
R 22 1543636
S 25 1544119
R 23 1544122
R 24 1544613
S 26 1544620
R 25 1545120
S 27 1545121
S 28 1545622
R 26 1545637
S 29 1546123
R 27 1546135
S 30 1546624
R 28 1546640
S 31 1547125
R 29 1547149
S 32 1547626
R 30 1547639
S 33 1548127
R 31 1548141
R 32 1548618
S 34 1548628
R 33 1549105
S 35 1549129
S 36 1549630
R 34 1549636
R 35 1550107
S 37 1550131
R 36 1550628
S 38 1550632
S 39 1551133
R 37 1551155
S 40 1551634
R 38 1551679
R 39 1552129
S 41 1552135
R 40 1552604
S 42 1552636
R 41 1553121
S 43 1553137
R 42 1553637
S 44 1553638
R 43 1554096
S 45 1554139
R 44 1554615
S 46 1554640
R 45 1555105
S 47 1555141
R 46 1555609
S 48 1555642
R 47 1556107
S 49 1556143
R 48 1556628
S 50 1556644
