S 1 1232033
S 2 1232534
S 3 1233035
S 4 1233536
R 1 1234022
S 5 1234037
S 6 1234538
R 2 1234996
S 7 1235039
R 3 1235481
S 8 1235540
R 4 1235956
S 9 1236041
R 5 1236451
S 10 1236542
R 6 1236970
S 11 1237043
R 7 1237476
S 12 1237544
R 8 1237974
S 13 1238045
R 9 1238461
S 14 1238546
R 10 1238958
S 15 1239047
R 11 1239448
S 16 1239548
S 17 1240049
R 12 1240155
R 13 1240516
S 18 1240550
R 14 1240977
S 19 1241051
R 15 1241424
S 20 1241552
R 16 1241907
S 21 1242053
R 17 1242394
S 22 1242554
R 18 1242974
S 23 1243055
R 19 1243448
S 24 1243556
R 20 1243942
S 25 1244057
R 21 1244421
S 26 1244558
R 22 1244921
S 27 1245059
R 23 1245396
S 28 1245560
R 24 1245864
S 29 1246061
R 25 1246323
S 30 1246562
R 26 1246818
S 31 1247063
R 27 1247297
S 32 1247564
R 28 1247791
S 33 1248065
R 29 1248318
S 34 1248566
R 30 1248791
S 35 1249067
R 31 1249215
S 36 1249568
R 32 1249744
S 37 1250069
R 33 1250190
S 38 1250570
R 34 1250850
S 39 1251072
R 35 1251337
S 40 1251573
R 36 1251810
S 41 1252074
R 37 1252300
S 42 1252575
R 38 1252793
S 43 1253076
R 39 1253294
S 44 1253577
R 40 1253793
S 45 1254078
R 41 1254300
S 46 1254579
R 42 1254784
S 47 1255080
R 43 1255285
S 48 1255581
R 44 1255776
S 49 1256082
R 45 1256280
S 50 1256583
R 46 1256729
