S 1 333701
R 1 334190
S 2 334202
S 3 334703
R 2 334713
S 4 335204
R 3 335219
R 4 335703
S 5 335705
S 6 336206
R 5 336207
R 6 336701
S 7 336707
S 8 337208
R 7 337208
S 9 337709
R 8 337722
R 9 338205
S 10 338210
S 11 338711
R 10 338733
S 12 339212
R 11 339256
S 13 339713
R 12 339733
S 14 340214
R 13 340240
R 14 340712
S 15 340715
R 15 341214
S 16 341216
S 17 341718
R 16 341719
S 18 342219
R 17 342255
R 18 342716
S 19 342720
S 20 343221
R 19 343668
S 21 343723
R 20 344218
S 22 344224
R 21 344715
S 23 344725
R 22 345221
S 24 345226
S 25 345728
R 23 345731
R 24 346228
S 26 346229
R 25 346720
S 27 346730
R 26 347217
S 28 347231
S 29 347732
R 27 347739
R 28 348209
S 30 348233
R 29 348677
S 31 348734
R 30 349190
S 32 349235
R 31 349689
S 33 349736
R 32 350179
S 34 350237
R 33 350702
S 35 350738
R 34 351195
S 36 351239
R 35 351712
S 37 351740
R 36 352219
S 38 352241
R 37 352716
S 39 352742
S 40 353243
R 38 353718
S 41 353744
S 42 354245
R 39 354263
R 40 354709
S 43 354746
R 41 355189
S 44 355247
R 42 355696
S 45 355748
R 43 356198
S 46 356249
R 44 356681
S 47 356750
R 45 357197
S 48 357251
R 46 357694
S 49 357752
R 47 358182
S 50 358253
R 48 358700
