S 1 2252033
S 2 2252534
R 1 2253014
S 3 2253035
R 2 2253505
S 4 2253536
R 3 2254000
S 5 2254038
R 4 2254485
S 6 2254539
R 5 2254956
S 7 2255040
R 6 2255524
S 8 2255541
R 7 2256028
S 9 2256043
R 8 2256526
S 10 2256544
R 9 2257022
S 11 2257045
S 12 2257546
R 10 2257556
R 11 2258034
S 13 2258048
R 12 2258520
S 14 2258549
R 13 2259023
S 15 2259050
R 14 2259548
S 16 2259551
R 15 2260017
S 17 2260052
R 16 2260547
S 18 2260553
R 17 2261044
S 19 2261054
S 20 2261555
R 18 2261567
S 21 2262056
R 19 2262077
S 22 2262557
R 20 2262559
R 21 2263053
S 23 2263058
S 24 2263559
R 22 2263578
R 23 2264026
S 25 2264060
R 24 2264526
S 26 2264561
R 25 2265021
S 27 2265062
S 28 2265563
R 26 2265583
S 29 2266064
R 27 2266091
S 30 2266565
R 28 2266619
R 29 2267065
S 31 2267066
R 30 2267551
S 32 2267567
R 31 2268050
S 33 2268068
S 34 2268569
R 32 2268575
R 33 2269050
S 35 2269070
R 34 2269555
S 36 2269571
R 35 2270041
S 37 2270072
R 36 2270522
S 38 2270573
S 39 2271074
R 37 2271084
S 40 2271575
R 38 2271588
R 39 2272072
S 41 2272076
R 40 2272549
S 42 2272577
R 41 2273022
S 43 2273078
R 42 2273559
S 44 2273579
R 43 2274063
S 45 2274080
R 44 2274561
S 46 2274581
R 45 2275040
S 47 2275082
S 48 2275584
R 46 2275589
R 47 2276077
S 49 2276085
R 48 2276553
S 50 2276586
