S 1 2095780
S 2 2096281
S 3 2096782
S 4 2097283
R 1 2097744
S 5 2097784
R 2 2098256
S 6 2098285
R 3 2098752
S 7 2098786
R 4 2099254
S 8 2099287
R 5 2099769
S 9 2099788
R 6 2100255
S 10 2100289
R 7 2100764
S 11 2100790
R 8 2101278
S 12 2101291
R 9 2101778
S 13 2101792
R 10 2102275
S 14 2102293
R 11 2102755
S 15 2102794
R 12 2103271
S 16 2103296
R 13 2103762
S 17 2103797
R 14 2104260
S 18 2104298
S 19 2104799
R 15 2104805
R 16 2105277
S 20 2105300
R 17 2105769
S 21 2105801
R 18 2106301
S 22 2106302
R 19 2106779
S 23 2106803
R 20 2107272
S 24 2107304
S 25 2107805
R 21 2107806
R 22 2108292
S 26 2108306
R 23 2108775
S 27 2108807
R 24 2109272
S 28 2109308
R 25 2109764
S 29 2109809
R 26 2110231
S 30 2110310
R 27 2110788
S 31 2110811
R 28 2111286
S 32 2111312
R 29 2111760
S 33 2111813
R 30 2112286
S 34 2112314
R 31 2112777
S 35 2112815
R 32 2113276
S 36 2113316
R 33 2113751
S 37 2113817
R 34 2114243
S 38 2114318
R 35 2114748
S 39 2114819
R 36 2115243
S 40 2115320
R 37 2115774
S 41 2115821
R 38 2116313
S 42 2116322
R 39 2116799
S 43 2116823
S 44 2117324
R 40 2117337
R 41 2117823
S 45 2117825
S 46 2118326
R 42 2118330
S 47 2118827
R 43 2118835
R 44 2119316
S 48 2119328
R 45 2119823
S 49 2119829
R 46 2120314
S 50 2120330
R 47 2120801
