S 1 1386821
S 2 1387322
R 1 1387753
S 3 1387823
R 2 1388301
S 4 1388324
R 3 1388808
S 5 1388825
R 4 1389317
S 6 1389326
R 5 1389803
S 7 1389827
R 6 1390290
S 8 1390328
R 7 1390789
S 9 1390829
R 8 1391318
S 10 1391330
R 9 1391821
S 11 1391831
R 10 1392313
S 12 1392332
R 11 1392822
S 13 1392833
R 12 1393312
S 14 1393334
R 13 1393814
S 15 1393835
R 14 1394321
S 16 1394336
S 17 1394837
R 15 1394849
S 18 1395338
R 16 1395349
R 17 1395827
S 19 1395840
R 18 1396322
S 20 1396341
R 19 1396838
S 21 1396842
S 22 1397343
R 20 1397344
R 21 1397835
S 23 1397844
R 22 1398332
S 24 1398345
R 23 1398828
S 25 1398846
R 24 1399313
S 26 1399347
R 25 1399825
S 27 1399848
R 26 1400329
S 28 1400349
R 27 1400814
S 29 1400850
R 28 1401324
S 30 1401351
R 29 1401828
S 31 1401852
R 30 1402308
S 32 1402353
R 31 1402829
S 33 1402854
R 32 1403335
S 34 1403355
R 33 1403829
S 35 1403856
R 34 1404335
S 36 1404357
R 35 1404826
S 37 1404858
R 36 1405312
S 38 1405359
R 37 1405817
S 39 1405860
R 38 1406295
S 40 1406361
R 39 1406811
S 41 1406862
R 40 1407336
S 42 1407363
R 41 1407805
S 43 1407864
R 42 1408345
S 44 1408365
R 43 1408851
S 45 1408866
R 44 1409317
S 46 1409367
R 45 1409848
S 47 1409868
R 46 1410358
S 48 1410369
R 47 1410837
S 49 1410870
R 48 1411340
S 50 1411371
R 49 1411848
