S 1 3241840
S 2 3242341
S 3 3242842
S 4 3243343
R 1 3243811
S 5 3243844
R 2 3244311
S 6 3244345
R 3 3244824
S 7 3244846
R 4 3245331
S 8 3245347
R 5 3245815
S 9 3245848
R 6 3246311
S 10 3246349
R 7 3246812
S 11 3246850
R 8 3247307
S 12 3247351
R 9 3247799
S 13 3247852
R 10 3248305
S 14 3248353
R 11 3248814
S 15 3248854
R 12 3249298
S 16 3249355
R 13 3249793
S 17 3249856
R 14 3250316
S 18 3250357
R 15 3250805
S 19 3250859
R 16 3251289
S 20 3251360
R 17 3251775
S 21 3251861
R 18 3252290
S 22 3252362
R 19 3252794
S 23 3252864
R 20 3253292
S 24 3253365
R 21 3253818
S 25 3253866
R 22 3254334
S 26 3254367
R 23 3254807
S 27 3254868
R 24 3255332
S 28 3255369
R 25 3255817
S 29 3255870
R 26 3256346
S 30 3256371
R 27 3256851
S 31 3256872
R 28 3257333
S 32 3257373
R 29 3257814
S 33 3257874
R 30 3258327
S 34 3258375
R 31 3258834
S 35 3258876
R 32 3259345
S 36 3259377
R 33 3259847
S 37 3259878
R 34 3260341
S 38 3260379
R 35 3260838
S 39 3260880
R 36 3261330
S 40 3261381
R 37 3261821
S 41 3261882
R 38 3262315
S 42 3262383
R 39 3262814
S 43 3262884
R 40 3263310
S 44 3263385
R 41 3263815
S 45 3263886
R 42 3264368
S 46 3264387
R 43 3264880
S 47 3264888
R 44 3265377
S 48 3265389
R 45 3265865
S 49 3265890
R 46 3266375
S 50 3266391
R 47 3266861
