S 1 2448780
S 2 2449281
S 3 2449782
S 4 2450283
R 1 2450756
S 5 2450784
R 2 2451263
S 6 2451286
R 3 2451770
S 7 2451787
R 4 2452270
S 8 2452288
R 5 2452767
S 9 2452789
R 6 2453267
S 10 2453291
R 7 2453762
S 11 2453792
R 8 2454255
S 12 2454293
R 9 2454758
S 13 2454794
R 10 2455247
S 14 2455296
R 11 2455760
S 15 2455797
R 12 2456247
S 16 2456298
R 13 2456756
S 17 2456799
R 14 2457239
S 18 2457300
R 15 2457795
S 19 2457801
R 16 2458285
S 20 2458302
R 17 2458790
S 21 2458803
R 18 2459270
S 22 2459304
R 19 2459773
S 23 2459805
R 20 2460263
S 24 2460306
R 21 2460756
S 25 2460807
R 22 2461247
S 26 2461308
R 23 2461762
S 27 2461809
R 24 2462271
S 28 2462310
R 25 2462783
S 29 2462811
R 26 2463280
S 30 2463312
R 27 2463798
S 31 2463813
S 32 2464314
R 28 2464315
R 29 2464813
S 33 2464815
R 30 2465306
S 34 2465316
R 31 2465800
S 35 2465817
R 32 2466289
S 36 2466318
R 33 2466794
S 37 2466819
R 34 2467301
S 38 2467320
R 35 2467782
S 39 2467821
R 36 2468270
S 40 2468322
R 37 2468785
S 41 2468823
R 38 2469269
S 42 2469324
R 39 2469789
S 43 2469825
R 40 2470281
S 44 2470326
S 45 2470827
R 41 2470842
R 42 2471313
S 46 2471328
R 43 2471819
S 47 2471829
R 44 2472308
S 48 2472330
R 45 2472800
S 49 2472832
R 46 2473293
S 50 2473333
R 47 2473781
