S 1 2341544
S 2 2342045
R 1 2342510
S 3 2342546
R 2 2343036
S 4 2343047
S 5 2343548
R 3 2343569
R 4 2344043
S 6 2344049
R 5 2344532
S 7 2344550
R 6 2345035
S 8 2345051
R 7 2345528
S 9 2345552
R 8 2345978
S 10 2346053
R 9 2346478
S 11 2346554
S 12 2347055
R 10 2347057
R 11 2347538
S 13 2347556
R 12 2348016
S 14 2348057
R 13 2348504
S 15 2348558
R 14 2349019
S 16 2349059
R 15 2349533
S 17 2349560
R 16 2349999
S 18 2350061
R 17 2350529
S 19 2350562
R 18 2351031
S 20 2351063
R 19 2351511
S 21 2351564
R 20 2352050
S 22 2352065
R 21 2352557
S 23 2352566
R 22 2353050
S 24 2353067
R 23 2353541
S 25 2353568
R 24 2354052
S 26 2354069
R 25 2354529
S 27 2354570
R 26 2355025
S 28 2355072
R 27 2355565
S 29 2355573
R 28 2356035
S 30 2356074
R 29 2356547
S 31 2356575
R 30 2357006
S 32 2357076
R 31 2357575
S 33 2357577
R 32 2358053
S 34 2358078
R 33 2358561
S 35 2358579
R 34 2359055
S 36 2359080
R 35 2359576
S 37 2359581
R 36 2360059
S 38 2360082
R 37 2360546
S 39 2360583
R 38 2361060
S 40 2361084
R 39 2361578
S 41 2361585
R 40 2362030
S 42 2362086
R 41 2362566
S 43 2362587
S 44 2363088
R 42 2363095
R 43 2363588
S 45 2363589
R 44 2364039
S 46 2364090
R 45 2364582
S 47 2364591
S 48 2365092
R 46 2365105
R 47 2365590
S 49 2365593
R 48 2366072
S 50 2366094
