S 1 1132995
S 2 1133496
S 3 1133997
S 4 1134498
R 1 1134987
S 5 1134999
R 2 1135451
S 6 1135500
R 3 1135933
S 7 1136001
R 4 1136420
S 8 1136502
R 5 1136900
S 9 1137003
R 6 1137462
S 10 1137504
R 7 1137968
S 11 1138006
R 8 1138482
S 12 1138507
R 9 1138951
S 13 1139008
R 10 1139448
S 14 1139509
R 11 1139938
S 15 1140011
R 12 1140438
S 16 1140512
R 13 1140948
S 17 1141013
R 14 1141445
S 18 1141514
R 15 1141929
S 19 1142016
R 16 1142456
S 20 1142517
R 17 1142940
S 21 1143018
R 18 1143449
S 22 1143519
R 19 1143909
S 23 1144020
R 20 1144475
S 24 1144521
R 21 1144988
S 25 1145022
R 22 1145449
S 26 1145523
R 23 1145917
S 27 1146024
R 24 1146500
S 28 1146525
R 25 1147015
S 29 1147026
R 26 1147501
S 30 1147527
R 27 1147996
S 31 1148028
R 28 1148475
S 32 1148529
R 29 1148967
S 33 1149030
R 30 1149472
S 34 1149531
R 31 1149961
S 35 1150032
R 32 1150436
S 36 1150533
R 33 1150991
S 37 1151034
R 34 1151511
S 38 1151535
R 35 1152007
S 39 1152036
R 36 1152497
S 40 1152537
R 37 1152989
S 41 1153038
R 38 1153466
S 42 1153539
R 39 1153934
S 43 1154040
R 40 1154497
S 44 1154541
R 41 1155005
S 45 1155042
R 42 1155501
S 46 1155543
R 43 1155990
S 47 1156044
R 44 1156483
S 48 1156545
R 45 1156970
S 49 1157046
R 46 1157466
S 50 1157547
R 47 1157942
