S 1 1001700
S 2 1002201
S 3 1002702
S 4 1003203
R 1 1003684
S 5 1003704
R 2 1004165
S 6 1004205
R 3 1004645
S 7 1004706
R 4 1005136
S 8 1005207
R 5 1005620
S 9 1005708
R 6 1006110
S 10 1006209
R 7 1006621
S 11 1006710
R 8 1007122
S 12 1007211
R 9 1007654
S 13 1007712
R 10 1008130
S 14 1008214
R 11 1008646
S 15 1008715
R 12 1009141
S 16 1009216
R 13 1009623
S 17 1009717
R 14 1010142
S 18 1010219
R 15 1010644
S 19 1010720
R 16 1011166
S 20 1011221
R 17 1011658
S 21 1011722
R 18 1012125
S 22 1012224
R 19 1012667
S 23 1012725
R 20 1013188
S 24 1013226
R 21 1013676
S 25 1013727
R 22 1014177
S 26 1014228
R 23 1014678
S 27 1014729
R 24 1015185
S 28 1015230
R 25 1015696
S 29 1015731
R 26 1016196
S 30 1016232
R 27 1016671
S 31 1016733
R 28 1017190
S 32 1017234
R 29 1017675
S 33 1017735
R 30 1018178
S 34 1018236
R 31 1018693
S 35 1018737
R 32 1019208
S 36 1019238
R 33 1019711
S 37 1019739
R 34 1020195
S 38 1020240
R 35 1020718
S 39 1020741
R 36 1021192
S 40 1021242
R 37 1021697
S 41 1021743
R 38 1022168
S 42 1022244
R 39 1022654
S 43 1022745
R 40 1023159
S 44 1023246
R 41 1023691
S 45 1023747
R 42 1024185
S 46 1024248
R 43 1024679
S 47 1024749
R 44 1025192
S 48 1025250
R 45 1025684
S 49 1025751
R 46 1026154
S 50 1026252
