S 1 1388019
R 1 1388493
S 2 1388520
R 2 1388989
S 3 1389021
R 3 1389502
S 4 1389522
R 4 1389997
S 5 1390023
S 6 1390524
R 5 1390529
S 7 1391025
R 6 1391042
R 7 1391504
S 8 1391526
R 8 1392003
S 9 1392027
R 9 1392495
S 10 1392528
S 11 1393029
R 10 1393056
S 12 1393530
R 11 1393539
R 12 1394015
S 13 1394031
R 13 1394500
S 14 1394532
R 14 1395001
S 15 1395033
R 15 1395518
S 16 1395534
R 16 1396002
S 17 1396035
R 17 1396504
S 18 1396536
R 18 1396985
S 19 1397037
S 20 1397538
R 19 1397544
R 20 1398033
S 21 1398039
R 21 1398528
S 22 1398540
R 22 1399012
S 23 1399041
R 23 1399511
S 24 1399542
R 24 1399993
S 25 1400043
R 25 1400530
S 26 1400544
R 26 1400994
S 27 1401046
R 27 1401529
S 28 1401547
R 28 1402018
S 29 1402048
S 30 1402549
R 29 1402558
R 30 1403048
S 31 1403051
R 31 1403541
S 32 1403552
R 32 1404048
S 33 1404053
R 33 1404520
S 34 1404554
R 34 1405025
S 35 1405056
R 35 1405537
S 36 1405557
R 36 1406039
S 37 1406058
R 37 1406508
S 38 1406559
R 38 1407017
S 39 1407060
R 39 1407490
S 40 1407561
R 40 1408020
S 41 1408062
R 41 1408546
S 42 1408563
S 43 1409064
R 42 1409065
R 43 1409549
S 44 1409565
R 44 1410045
S 45 1410066
R 45 1410505
S 46 1410567
R 46 1411037
S 47 1411068
R 47 1411526
S 48 1411569
R 48 1412063
S 49 1412070
R 49 1412567
S 50 1412571
R 50 1413026
