S 1 962840
S 2 963341
R 1 963838
S 3 963842
R 2 964291
S 4 964343
R 3 964842
S 5 964844
R 4 965303
S 6 965345
R 5 965795
S 7 965846
R 6 966280
S 8 966347
R 7 966775
S 9 966848
R 8 967303
S 10 967349
R 9 967811
S 11 967851
R 10 968331
S 12 968352
R 11 968788
S 13 968853
R 12 969276
S 14 969354
R 13 969785
S 15 969856
R 14 970275
S 16 970357
R 15 970832
S 17 970858
R 16 971330
S 18 971359
R 17 971822
S 19 971860
R 18 972320
S 20 972361
R 19 972828
S 21 972862
R 20 973337
S 22 973363
R 21 973832
S 23 973864
R 22 974331
S 24 974365
R 23 974822
S 25 974866
R 24 975325
S 26 975367
R 25 975828
S 27 975868
R 26 976320
S 28 976369
R 27 976829
S 29 976870
R 28 977317
S 30 977371
R 29 977839
S 31 977872
R 30 978314
S 32 978373
R 31 978828
S 33 978874
R 32 979292
S 34 979375
R 33 979874
S 35 979876
R 34 980329
S 36 980377
R 35 980835
S 37 980878
R 36 981345
S 38 981379
R 37 981828
S 39 981880
R 38 982328
S 40 982381
R 39 982839
S 41 982882
R 40 983309
S 42 983383
R 41 983849
S 43 983884
R 42 984363
S 44 984385
R 43 984867
S 45 984886
R 44 985357
S 46 985387
R 45 985852
S 47 985888
R 46 986343
S 48 986389
R 47 986849
S 49 986890
R 48 987356
S 50 987392
R 49 987838
