S 1 2438366
S 2 2438867
S 3 2439368
S 4 2439869
R 1 2440333
S 5 2440370
R 2 2440851
S 6 2440871
R 3 2441344
S 7 2441372
R 4 2441860
S 8 2441873
R 5 2442355
S 9 2442374
R 6 2442865
S 10 2442875
R 7 2443372
S 11 2443376
R 8 2443851
S 12 2443877
R 9 2444344
S 13 2444378
S 14 2444879
R 10 2444880
S 15 2445380
R 11 2445390
S 16 2445881
R 12 2445905
S 17 2446382
R 13 2446383
S 18 2446883
R 14 2446887
S 19 2447384
R 15 2447391
S 20 2447885
R 16 2447891
S 21 2448386
R 17 2448389
S 22 2448887
R 18 2448892
R 19 2449369
S 23 2449388
R 20 2449876
S 24 2449889
R 21 2450388
S 25 2450390
R 22 2450855
S 26 2450891
R 23 2451371
S 27 2451392
R 24 2451874
S 28 2451893
S 29 2452395
R 25 2452399
S 30 2452896
R 26 2452904
R 27 2453393
S 31 2453397
R 28 2453882
S 32 2453898
R 29 2454394
S 33 2454400
R 30 2454894
S 34 2454901
S 35 2455402
R 31 2455418
R 32 2455891
S 36 2455903
S 37 2456404
R 33 2456415
S 38 2456905
R 34 2456906
S 39 2457406
R 35 2457432
S 40 2457907
R 36 2457933
R 37 2458404
S 41 2458408
R 38 2458881
S 42 2458909
R 39 2459360
S 43 2459410
R 40 2459890
S 44 2459911
R 41 2460392
S 45 2460412
R 42 2460866
S 46 2460913
R 43 2461362
S 47 2461414
R 44 2461880
S 48 2461915
R 45 2462390
S 49 2462416
R 46 2462881
S 50 2462917
R 47 2463401
